iter	Passed	Remaining
0	2	1222
1	4	1045
2	5	951
3	7	939
4	9	898
5	10	883
6	12	887
7	14	881
8	16	907
9	18	927
10	20	920
11	22	912
12	24	905
13	26	910
14	27	897
15	29	888
16	31	882
17	32	871
18	34	863
19	35	859
20	37	855
21	39	854
22	40	848
23	42	847
24	44	847
25	46	847
26	48	847
27	50	843
28	51	839
29	53	836
30	55	836
31	57	836
32	59	835
33	60	831
34	62	830
35	64	831
36	66	830
37	68	826
38	69	822
39	71	819
40	73	817
41	74	814
42	76	810
43	78	808
44	79	806
45	81	804
46	83	803
47	85	807
48	87	807
49	89	806
50	91	803
51	92	800
52	94	797
53	96	796
54	98	797
55	100	795
56	101	792
57	104	793
58	105	791
59	107	788
60	109	786
61	110	783
62	112	780
63	114	778
64	116	779
65	118	779
66	120	778
67	122	776
68	123	773
69	125	773
70	127	772
71	129	770
72	131	768
73	132	765
74	135	766
75	137	764
76	138	762
77	140	760
78	142	757
79	143	755
80	146	756
81	148	754
82	149	752
83	151	749
84	153	747
85	154	745
86	156	743
87	158	741
88	160	738
89	161	736
90	163	733
91	165	732
92	167	732
93	169	731
94	171	730
95	173	728
96	175	729
97	177	727
98	179	725
99	180	723
100	183	723
101	185	723
102	187	721
103	188	718
104	191	719
105	193	719
106	195	717
107	197	716
108	199	715
109	201	714
110	204	714
111	206	714
112	208	712
113	210	713
114	212	712
115	214	710
116	216	709
117	218	707
118	220	705
119	222	704
120	224	703
121	226	703
122	228	701
123	231	700
124	232	698
125	234	697
126	236	695
127	239	694
128	240	692
129	242	690
130	244	688
131	246	686
132	248	686
133	250	683
134	252	682
135	254	680
136	255	678
137	257	676
138	259	674
139	261	672
140	263	669
141	264	667
142	266	665
143	268	663
144	269	660
145	271	658
146	273	657
147	275	656
148	277	654
149	279	652
150	281	649
151	283	648
152	285	646
153	287	645
154	289	643
155	291	642
156	293	640
157	295	639
158	297	637
159	298	635
160	300	632
161	303	632
162	304	630
163	307	629
164	308	627
165	310	625
166	312	623
167	314	621
168	316	620
169	318	617
170	320	615
171	321	613
172	323	611
173	325	609
174	327	607
175	329	606
176	331	604
177	333	602
178	334	600
179	336	598
180	338	597
181	340	595
182	342	593
183	344	590
184	346	589
185	347	587
186	350	586
187	351	583
188	353	582
189	356	581
190	358	580
191	360	578
192	363	577
193	365	576
194	367	574
195	369	572
196	371	571
197	373	569
198	375	568
199	377	566
200	379	564
201	381	563
202	383	561
203	385	559
204	387	557
205	389	555
206	391	554
207	393	552
208	395	550
209	397	548
210	399	546
211	400	544
212	402	542
213	404	540
214	406	538
215	408	536
216	410	535
217	412	533
218	414	531
219	416	530
220	418	528
221	420	526
222	422	524
223	424	523
224	426	521
225	428	519
226	430	517
227	432	515
228	434	513
229	435	511
230	437	509
231	439	507
232	441	505
233	443	503
234	444	501
235	446	499
236	448	497
237	449	494
238	451	492
239	453	491
240	455	489
241	457	487
242	459	485
243	460	483
244	462	481
245	464	479
246	466	478
247	468	476
248	470	474
249	472	472
250	474	470
251	476	469
252	478	467
253	480	465
254	482	463
255	484	461
256	486	460
257	488	458
258	490	456
259	492	454
260	494	452
261	496	451
262	498	449
263	500	447
264	502	445
265	504	444
266	506	442
267	508	440
268	510	438
269	512	436
270	513	434
271	515	432
272	517	430
273	519	428
274	520	426
275	522	424
276	524	422
277	526	420
278	528	418
279	529	416
280	531	414
281	533	412
282	535	410
283	536	407
284	537	405
285	539	403
286	541	401
287	543	400
288	545	398
289	547	396
290	549	394
291	551	392
292	553	390
293	555	389
294	557	387
295	559	385
296	561	383
297	563	381
298	565	379
299	566	377
300	569	376
301	572	375
302	574	373
303	577	372
304	580	371
305	583	370
306	586	368
307	589	367
308	591	365
309	593	363
310	595	361
311	597	359
312	598	357
313	600	355
314	602	353
315	604	351
316	606	350
317	609	348
318	610	346
319	612	344
320	614	342
321	616	341
322	618	339
323	620	337
324	622	335
325	623	333
326	626	331
327	628	329
328	630	327
329	632	325
330	634	323
331	636	321
332	637	319
333	639	318
334	641	315
335	643	313
336	645	312
337	647	310
338	649	308
339	651	306
340	653	304
341	654	302
342	656	300
343	658	298
344	659	296
345	661	294
346	663	292
347	665	290
348	666	288
349	669	286
350	670	284
351	672	282
352	674	280
353	676	278
354	677	276
355	679	274
356	681	272
357	683	271
358	685	269
359	687	267
360	689	265
361	691	263
362	693	261
363	695	259
364	696	257
365	698	255
366	700	253
367	701	251
368	703	249
369	705	247
370	706	245
371	708	243
372	710	241
373	713	240
374	714	238
375	716	236
376	718	234
377	719	232
378	721	230
379	723	228
380	725	226
381	727	224
382	729	222
383	731	220
384	733	219
385	735	217
386	737	215
387	739	213
388	740	211
389	742	209
390	744	207
391	745	205
392	747	203
393	749	201
394	750	199
395	752	197
396	754	195
397	756	193
398	757	191
399	759	189
400	761	187
401	763	186
402	764	184
403	766	182
404	768	180
405	769	178
406	771	176
407	773	174
408	775	172
409	777	170
410	778	168
411	780	166
412	782	164
413	784	162
414	786	161
415	788	159
416	790	157
417	792	155
418	794	153
419	796	151
420	798	149
421	800	148
422	803	146
423	804	144
424	806	142
425	808	140
426	811	138
427	812	136
428	814	134
429	816	132
430	818	131
431	820	129
432	822	127
433	823	125
434	825	123
435	827	121
436	828	119
437	830	117
438	832	115
439	834	113
440	836	111
441	837	109
442	839	108
443	841	106
444	843	104
445	845	102
446	846	100
447	848	98
448	850	96
449	852	94
450	853	92
451	855	90
452	857	88
453	859	87
454	860	85
455	862	83
456	864	81
457	865	79
458	867	77
459	868	75
460	870	73
461	872	71
462	874	69
463	875	67
464	877	66
465	879	64
466	881	62
467	883	60
468	885	58
469	886	56
470	888	54
471	890	52
472	892	50
473	893	49
474	895	47
475	897	45
476	899	43
477	901	41
478	902	39
479	904	37
480	906	35
481	907	33
482	909	32
483	911	30
484	912	28
485	914	26
486	916	24
487	917	22
488	919	20
489	921	18
490	922	16
491	924	15
492	926	13
493	928	11
494	930	9
495	932	7
496	934	5
497	935	3
498	937	1
499	939	0
